,BLE Scanner History Log,
DeviceName, Logical Name, MacAddress, DeviceAddedTime, LastSeenTime
J-98D331F33E120001, J-98D331F33E120001, 98:D3:31:F3:3E:12, 2026-04-12 19:50:58, 2026-04-12 19:50:58
J-98D331F340E60001, J-98D331F340E60001, 98:D3:31:F3:40:E6, 2026-03-14 21:21:21, 2026-03-14 21:34:41
